전철역코드,외부코드,전철역명,호선,정류장명,정류장ID,X좌표,Y좌표
426,426,서울,4,서울역,2673,197552,450619
418,418,성신여대입구,4,성신여대입구,8269,201435,454875
410,410,상계,4,상계역,11391,206561,462454
421,421,동대문,4,동대문,1237,200989,452490
414,414,수유,4,수유3동우체국,9246,202433,460049
414,414,수유,4,강북구청,9146,202296,460086
432,432,총신대입구(이수),4,이수역,22344,198457,443101
422,422,동대문역사문화공원,4,광희동,2171,200710,451738
1763,445,수리산,4,수리산역,40609,193435,427715
434,434,남태령,4,전원마을,22623,198962,440714
425,425,회현,4,남대문시장,2145,198036,450976
409,409,당고개,4,흥안운수종점,11225,207122,463360
